"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 16일","1,962.10","1,961.50","1,962.50","1,961.30","-","0.03%"
"2020년 09월 15일","1,961.55","1,966.15","1,981.75","1,956.00","-","-0.11%"
"2020년 09월 14일","1,963.70","1,948.90","1,972.50","1,945.20","200.09K","0.81%"
"2020년 09월 11일","1,947.90","1,953.80","1,963.40","1,944.00","205.23K","-0.83%"
"2020년 09월 10일","1,964.30","1,955.30","1,975.20","1,948.60","271.48K","0.48%"
"2020년 09월 09일","1,954.90","1,939.40","1,959.70","1,926.30","227.18K","0.60%"
"2020년 09월 08일","1,943.20","1,938.00","1,948.30","1,911.70","416.01K","0.31%"
"2020년 09월 07일","1,937.10","1,940.70","1,947.40","1,930.45","-","-0.18%"
"2020년 09월 06일","1,940.65","1,941.90","1,944.30","1,937.65","-","0.33%"
"2020년 09월 04일","1,934.30","1,938.00","1,956.60","1,921.60","304.74K","-0.18%"
"2020년 09월 03일","1,937.80","1,948.90","1,956.60","1,927.20","303.03K","-0.35%"
"2020년 09월 02일","1,944.70","1,976.80","1,980.40","1,938.90","332.59K","-1.73%"
"2020년 09월 01일","1,978.90","1,973.70","2,001.20","1,969.20","304.89K","0.02%"
"2020년 08월 31일","1,978.60","1,973.90","1,985.80","1,962.30","245.11K","0.19%"
"2020년 08월 28일","1,974.90","1,937.50","1,983.00","1,928.20","334.10K","2.19%"
"2020년 08월 27일","1,932.60","1,963.00","1,987.00","1,914.70","467.17K","-1.02%"
"2020년 08월 26일","1,952.50","1,939.00","1,963.40","1,908.40","342.21K","1.53%"
"2020년 08월 25일","1,923.10","1,935.90","1,944.10","1,919.10","274.11K","-0.83%"
"2020년 08월 24일","1,939.20","1,947.90","1,970.30","1,930.80","286.26K","-0.40%"
"2020년 08월 21일","1,947.00","1,955.60","1,963.10","1,916.60","355.07K","0.03%"
"2020년 08월 20일","1,946.50","1,934.40","1,963.10","1,928.90","383.34K","-1.21%"
"2020년 08월 19일","1,970.30","2,010.50","2,015.60","1,930.50","443.26K","-2.13%"
"2020년 08월 18일","2,013.10","1,993.60","2,024.60","1,985.20","361.48K","0.72%"
"2020년 08월 17일","1,998.70","1,956.40","2,000.80","1,939.10","289.44K","2.51%"
"2020년 08월 14일","1,949.80","1,963.80","1,970.00","1,939.10","241.80K","-1.05%"
"2020년 08월 13일","1,970.40","1,927.30","1,974.80","1,923.00","349.89K","1.10%"
"2020년 08월 12일","1,949.00","1,921.60","1,961.00","1,874.20","459.84K","0.14%"
"2020년 08월 11일","1,946.30","2,038.40","2,040.50","1,911.30","565.00K","-4.58%"
"2020년 08월 10일","2,039.70","2,044.80","2,060.80","2,027.80","251.31K","0.58%"
"2020년 08월 07일","2,028.00","2,076.40","2,089.20","2,024.80","398.13K","-2.00%"
"2020년 08월 06일","2,069.40","2,055.00","2,081.80","2,049.00","312.76K","0.98%"
"2020년 08월 05일","2,049.30","2,037.00","2,070.30","2,027.50","366.38K","1.40%"
"2020년 08월 04일","2,021.00","1,993.50","2,037.70","1,982.60","274.42K","1.75%"
"2020년 08월 03일","1,986.30","1,997.40","2,009.50","1,975.20","178.75K","0.02%"
"2020년 07월 31일","1,985.90","1,973.60","2,005.40","1,971.40","279.32K","0.97%"
"2020년 07월 30일","1,966.80","1,986.40","1,987.30","1,952.30","271.38K","-0.50%"
"2020년 07월 29일","1,976.70","1,971.90","1,998.40","1,955.70","197.82K","0.65%"
"2020년 07월 28일","1,963.90","1,963.20","2,000.00","1,927.50","161.58K","0.43%"
"2020년 07월 27일","1,955.40","1,929.00","1,971.30","1,926.80","137.85K","1.57%"
"2020년 07월 24일","1,925.20","1,912.30","1,933.60","1,908.00","66.45K","0.41%"
"2020년 07월 23일","1,917.40","1,900.00","1,927.10","1,890.40","72.36K","1.31%"
"2020년 07월 22일","1,892.60","1,867.80","1,899.00","1,867.80","49.86K","1.23%"
"2020년 07월 21일","1,869.60","1,842.50","1,870.50","1,839.90","31.69K","1.60%"
"2020년 07월 20일","1,840.10","1,835.50","1,846.10","1,830.70","19.19K","0.35%"
"2020년 07월 17일","1,833.70","1,822.90","1,837.60","1,821.00","16.39K","0.39%"
"2020년 07월 16일","1,826.50","1,840.70","1,843.70","1,819.90","18.23K","-0.82%"
"2020년 07월 15일","1,841.60","1,839.70","1,847.20","1,831.90","13.32K","0.01%"
"2020년 07월 14일","1,841.50","1,834.20","1,843.00","1,819.30","40.63K","-0.12%"
"2020년 07월 13일","1,843.70","1,831.60","1,847.70","1,831.60","36.09K","0.68%"
"2020년 07월 10일","1,831.30","1,837.00","1,846.30","1,825.50","40.13K","-0.12%"
"2020년 07월 09일","1,833.50","1,849.80","1,854.60","1,829.60","48.72K","-0.92%"
"2020년 07월 08일","1,850.60","1,832.60","1,857.00","1,829.10","58.42K","0.89%"
"2020년 07월 07일","1,834.30","1,817.20","1,835.00","1,804.80","18.51K","1.00%"
"2020년 07월 06일","1,816.10","1,809.30","1,821.30","1,801.60","10.49K","1.59%"
"2020년 07월 03일","1,787.60","1,786.90","1,788.70","1,783.65","-","-1.35%"
"2020년 07월 02일","1,812.00","1,802.20","1,813.90","1,788.30","11.53K","0.56%"
"2020년 07월 01일","1,801.90","1,817.50","1,827.10","1,789.80","15.52K","-1.02%"
"2020년 06월 30일","1,820.40","1,803.70","1,823.50","1,794.00","8.60K","1.13%"
"2020년 06월 29일","1,800.10","1,807.30","1,808.60","1,795.30","4.16K","0.09%"
"2020년 06월 26일","1,798.50","1,792.50","1,804.00","1,772.00","4.76K","0.56%"
"2020년 06월 25일","1,788.40","1,789.30","1,796.60","1,781.60","6.30K","-0.23%"
"2020년 06월 24일","1,792.60","1,800.40","1,810.70","1,787.80","8.73K","-0.25%"
"2020년 06월 23일","1,797.10","1,780.00","1,801.50","1,774.00","4.07K","0.86%"
"2020년 06월 22일","1,781.70","1,780.30","1,793.60","1,769.00","5.87K","0.74%"
"2020년 06월 19일","1,768.60","1,746.60","1,775.60","1,745.50","8.36K","1.18%"
"2020년 06월 18일","1,747.90","1,752.90","1,765.20","1,739.60","4.78K","-0.31%"
"2020년 06월 17일","1,753.40","1,751.50","1,756.80","1,735.60","3.83K","-0.06%"
"2020년 06월 16일","1,754.40","1,751.40","1,757.50","1,739.80","4.23K","0.54%"
"2020년 06월 15일","1,744.90","1,759.10","1,759.60","1,724.60","4.43K","-0.59%"
"2020년 06월 12일","1,755.20","1,751.70","1,770.50","1,746.90","3.61K","-0.14%"
"2020년 06월 11일","1,757.60","1,764.90","1,772.60","1,746.00","6.57K","1.07%"
"2020년 06월 10일","1,739.00","1,737.70","1,767.00","1,732.80","8.14K","-0.07%"
"2020년 06월 09일","1,740.30","1,724.90","1,747.50","1,715.90","6.82K","0.96%"
"2020년 06월 08일","1,723.80","1,706.10","1,726.00","1,700.10","4.83K","1.29%"
"2020년 06월 05일","1,701.90","1,740.20","1,741.90","1,690.10","9.81K","-2.55%"
"2020년 06월 04일","1,746.40","1,721.00","1,747.30","1,718.50","5.81K","1.33%"
"2020년 06월 03일","1,723.50","1,750.30","1,754.10","1,707.50","7.57K","-1.50%"
"2020년 06월 02일","1,749.70","1,766.20","1,771.00","1,743.40","4.99K","-0.79%"
"2020년 06월 01일","1,763.70","1,763.10","1,774.50","1,751.60","3.29K","-0.11%"
"2020년 05월 29일","1,765.70","1,748.70","1,767.10","1,740.70","6.42K","1.32%"
"2020년 05월 28일","1,742.70","1,737.50","1,757.30","1,734.30","4.17K","0.13%"
"2020년 05월 27일","1,740.50","1,738.80","1,743.30","1,714.80","6.08K","0.00%"
"2020년 05월 26일","1,740.50","1,761.00","1,768.00","1,734.80","6.03K","0.78%"
"2020년 05월 25일","1,727.00","1,730.55","1,731.35","1,719.25","-","-0.21%"
"2020년 05월 24일","1,730.65","1,735.45","1,735.90","1,729.80","-","-1.98%"
"2020년 05월 22일","1,765.60","1,755.90","1,768.30","1,750.60","8.36K","0.87%"
"2020년 05월 21일","1,750.40","1,778.80","1,779.80","1,743.80","5.87K","-1.76%"
"2020년 05월 20일","1,781.70","1,777.70","1,785.10","1,773.00","4.20K","0.47%"
"2020년 05월 19일","1,773.40","1,763.00","1,779.60","1,754.20","4.33K","0.73%"
"2020년 05월 18일","1,760.60","1,780.00","1,800.00","1,756.20","4.07K","-1.02%"
"2020년 05월 15일","1,778.70","1,760.10","1,783.00","1,758.00","5.54K","0.95%"
"2020년 05월 14일","1,762.00","1,743.30","1,765.10","1,735.00","4.05K","1.42%"
"2020년 05월 13일","1,737.30","1,726.60","1,744.50","1,721.00","6.18K","0.54%"
"2020년 05월 12일","1,728.00","1,721.10","1,737.20","1,717.00","5.81K","0.41%"
"2020년 05월 11일","1,720.90","1,727.70","1,734.20","1,714.20","6.37K","-0.82%"
"2020년 05월 08일","1,735.20","1,743.50","1,752.70","1,724.50","8.13K","-0.49%"
"2020년 05월 07일","1,743.70","1,706.40","1,750.50","1,704.50","8.26K","2.31%"
"2020년 05월 06일","1,704.40","1,730.50","1,733.40","1,698.80","5.81K","-1.37%"
"2020년 05월 05일","1,728.00","1,719.00","1,733.70","1,710.50","8.37K","0.12%"
"2020년 05월 04일","1,725.90","1,722.90","1,735.50","1,711.80","3.35K","0.81%"
"2020년 05월 01일","1,712.00","1,705.70","1,723.10","1,688.00","2.33K","0.42%"
"2020년 04월 30일","1,704.90","1,737.00","1,745.00","1,697.70","3.80K","-1.02%"
"2020년 04월 29일","1,722.40","1,735.00","1,741.80","1,718.00","1.90K","-0.51%"
"2020년 04월 28일","1,731.20","1,731.80","1,740.00","1,712.70","3.06K","-0.01%"
